2020-06-09 07:00:06 status half-installed libgcc-8-dev:amd64 8.3.0-6
2020-06-09 07:00:07 status unpacked libgcc-8-dev:amd64 8.3.0-6
2020-06-09 07:00:07 install gcc-8:amd64 <none> 8.3.0-6
2020-06-09 07:00:07 status half-installed gcc-8:amd64 8.3.0-6
2020-06-09 07:00:08 status unpacked gcc-8:amd64 8.3.0-6
2020-06-09 07:00:08 install gcc:amd64 <none> 4:8.3.0-1
2020-06-09 07:00:08 status half-installed gcc:amd64 4:8.3.0-1
2020-06-09 07:00:08 status unpacked gcc:amd64 4:8.3.0-1
2020-06-09 07:00:08 install gnupg-l10n:all <none> 2.2.12-1+deb10u1
2020-06-09 07:00:08 status half-installed gnupg-l10n:all 2.2.12-1+deb10u1
2020-06-09 07:00:08 status unpacked gnupg-l10n:all 2.2.12-1+deb10u1
2020-06-09 07:00:08 install gnupg-utils:amd64 <none> 2.2.12-1+deb10u1
2020-06-09 07:00:08 status half-installed gnupg-utils:amd64 2.2.12-1+deb10u1
2020-06-09 07:00:08 status unpacked gnupg-utils:amd64 2.2.12-1+deb10u1
2020-06-09 07:00:08 install libsqlite3-0:amd64 <none> 3.27.2-3
2020-06-09 07:00:08 status half-installed libsqlite3-0:amd64 3.27.2-3
2020-06-09 07:00:08 status unpacked libsqlite3-0:amd64 3.27.2-3
2020-06-09 07:00:08 install gpg:amd64 <none> 2.2.12-1+deb10u1
2020-06-09 07:00:08 status half-installed gpg:amd64 2.2.12-1+deb10u1
2020-06-09 07:00:08 status unpacked gpg:amd64 2.2.12-1+deb10u1
2020-06-09 07:00:08 install pinentry-curses:amd64 <none> 1.1.0-2
2020-06-09 07:00:08 status half-installed pinentry-curses:amd64 1.1.0-2
2020-06-09 07:00:08 status unpacked pinentry-curses:amd64 1.1.0-2
2020-06-09 07:00:08 install gpg-agent:amd64 <none> 2.2.12-1+deb10u1
2020-06-09 07:00:08 status half-installed gpg-agent:amd64 2.2.12-1+deb10u1
2020-06-09 07:00:08 status unpacked gpg-agent:amd64 2.2.12-1+deb10u1
2020-06-09 07:00:08 install gpg-wks-client:amd64 <none> 2.2.12-1+deb10u1
2020-06-09 07:00:08 status half-installed gpg-wks-client:amd64 2.2.12-1+deb10u1
2020-06-09 07:00:08 status unpacked gpg-wks-client:amd64 2.2.12-1+deb10u1
2020-06-09 07:00:08 install gpg-wks-server:amd64 <none> 2.2.12-1+deb10u1
2020-06-09 07:00:08 status half-installed gpg-wks-server:amd64 2.2.12-1+deb10u1
2020-06-09 07:00:08 status unpacked gpg-wks-server:amd64 2.2.12-1+deb10u1
2020-06-09 07:00:08 install gpgsm:amd64 <none> 2.2.12-1+deb10u1
2020-06-09 07:00:08 status half-installed gpgsm:amd64 2.2.12-1+deb10u1
2020-06-09 07:00:08 status unpacked gpgsm:amd64 2.2.12-1+deb10u1
2020-06-09 07:00:08 install gnupg:all <none> 2.2.12-1+deb10u1
2020-06-09 07:00:08 status half-installed gnupg:all 2.2.12-1+deb10u1
2020-06-09 07:00:08 status unpacked gnupg:all 2.2.12-1+deb10u1
2020-06-09 07:00:08 install libicu63:amd64 <none> 63.1-6+deb10u1
2020-06-09 07:00:08 status half-installed libicu63:amd64 63.1-6+deb10u1
2020-06-09 07:00:09 status unpacked libicu63:amd64 63.1-6+deb10u1
2020-06-09 07:00:09 install icu-devtools:amd64 <none> 63.1-6+deb10u1
2020-06-09 07:00:09 status half-installed icu-devtools:amd64 63.1-6+deb10u1
2020-06-09 07:00:09 status unpacked icu-devtools:amd64 63.1-6+deb10u1
2020-06-09 07:00:09 install libbrotli1:amd64 <none> 1.0.7-2
2020-06-09 07:00:09 status half-installed libbrotli1:amd64 1.0.7-2
2020-06-09 07:00:10 status unpacked libbrotli1:amd64 1.0.7-2
2020-06-09 07:00:10 install libbrotli-dev:amd64 <none> 1.0.7-2
2020-06-09 07:00:10 status half-installed libbrotli-dev:amd64 1.0.7-2
2020-06-09 07:00:10 status unpacked libbrotli-dev:amd64 1.0.7-2
2020-06-09 07:00:10 install libkeyutils1:amd64 <none> 1.6-6
2020-06-09 07:00:10 status half-installed libkeyutils1:amd64 1.6-6
2020-06-09 07:00:10 status unpacked libkeyutils1:amd64 1.6-6
2020-06-09 07:00:10 install libkrb5support0:amd64 <none> 1.17-3
2020-06-09 07:00:10 status half-installed libkrb5support0:amd64 1.17-3
2020-06-09 07:00:10 status unpacked libkrb5support0:amd64 1.17-3
2020-06-09 07:00:10 install libk5crypto3:amd64 <none> 1.17-3
2020-06-09 07:00:10 status half-installed libk5crypto3:amd64 1.17-3
2020-06-09 07:00:10 status unpacked libk5crypto3:amd64 1.17-3
2020-06-09 07:00:10 install libkrb5-3:amd64 <none> 1.17-3
2020-06-09 07:00:10 status half-installed libkrb5-3:amd64 1.17-3
2020-06-09 07:00:10 status unpacked libkrb5-3:amd64 1.17-3
2020-06-09 07:00:10 install libgssapi-krb5-2:amd64 <none> 1.17-3
2020-06-09 07:00:10 status half-installed libgssapi-krb5-2:amd64 1.17-3
2020-06-09 07:00:10 status unpacked libgssapi-krb5-2:amd64 1.17-3
2020-06-09 07:00:10 install libnghttp2-14:amd64 <none> 1.36.0-2+deb10u1
2020-06-09 07:00:10 status half-installed libnghttp2-14:amd64 1.36.0-2+deb10u1
2020-06-09 07:00:10 status unpacked libnghttp2-14:amd64 1.36.0-2+deb10u1
2020-06-09 07:00:10 install librtmp1:amd64 <none> 2.4+20151223.gitfa8646d.1-2
2020-06-09 07:00:10 status half-installed librtmp1:amd64 2.4+20151223.gitfa8646d.1-2
2020-06-09 07:00:10 status unpacked librtmp1:amd64 2.4+20151223.gitfa8646d.1-2
2020-06-09 07:00:10 install libssh2-1:amd64 <none> 1.8.0-2.1
2020-06-09 07:00:10 status half-installed libssh2-1:amd64 1.8.0-2.1
2020-06-09 07:00:10 status unpacked libssh2-1:amd64 1.8.0-2.1
2020-06-09 07:00:10 install libcurl4:amd64 <none> 7.64.0-4+deb10u1
2020-06-09 07:00:10 status half-installed libcurl4:amd64 7.64.0-4+deb10u1
2020-06-09 07:00:10 status unpacked libcurl4:amd64 7.64.0-4+deb10u1
2020-06-09 07:00:10 install libcurl4-openssl-dev:amd64 <none> 7.64.0-4+deb10u1
2020-06-09 07:00:10 status half-installed libcurl4-openssl-dev:amd64 7.64.0-4+deb10u1
